#### max PID : 32768

PID	Name			Virtual	Physical shared	WSS
2485	Timer			240888	54288	14509	*
2486	GMPThread		240888	54288	14509	*
2488	Compositor		240888	54288	14509	*
2489	ImageBridgeChil		240888	54288	14509	*
2490	ImgDecoder		240888	54288	14509	*
2491	ImgDecoder		240888	54288	14509	*
2492	ImageIO			240888	54288	14509	*
2493	SoftwareVsyncTh		240888	54288	14509	*
2494	firefox			240888	54288	14509	*
2495	Cert			240888	54288	14509	*
2496	HTML5			240888	54288	14509	*
2497	IPDL			240888	54288	14509	*
2499	DOM			240888	54288	14509	*
2506	mozStorage		240888	54288	14509	*
2507	Proxy			240888	54288	14509	*
2508	URL			240888	54288	14509	*
2510	Cache			240888	54288	14509	*
2511	mozStorage		240888	54288	14509	*
2512	mozStorage		240888	54288	14509	*
2513	mozStorage		240888	54288	14509	*
2518	DOM			240888	54288	14509	*
2519	mozStorage		240888	54288	14509	*
2520	localStorage		240888	54288	14509	*
2530	mozStorage		240888	54288	14509	*
2531	kworker/u5		0	0	0	*
2535	DOM			240888	54288	14509	*
2538	kworker/u4		0	0	0	*
2556	DNS			240888	54288	14509	*
2557	kworker/u4		0	0	0	*
2558	SSL			240888	54288	14509	*
2559	DNS			240888	54288	14509	*
2560	read_mem_info		1084	167	121	*

#### Time : 0.000000 seconds
#### Total number of Process : 359


PID	Name			Virtual	Physical shared	WSS
1	init			8474	797	369	*
2	kthreadd		0	0	0	*
3	ksoftirqd/0		0	0	0	*
5	kworker/0		0	0	0	*
7	rcu_sched		0	0	0	*
8	rcuos/0			0	0	0	*
9	rcuos/1			0	0	0	*
10	rcu_bh			0	0	0	*
11	rcuob/0			0	0	0	*
12	rcuob/1			0	0	0	*
13	migration/0		0	0	0	*
14	watchdog/0		0	0	0	*
15	watchdog/1		0	0	0	*
16	migration/1		0	0	0	*
17	ksoftirqd/1		0	0	0	*
18	kworker/1		0	0	0	*
19	kworker/1		0	0	0	*
20	khelper			0	0	0	*
21	kdevtmpfs		0	0	0	*
22	netns			0	0	0	*
23	writeback		0	0	0	*
24	ksmd			0	0	0	*
25	khugepaged		0	0	0	*
26	kintegrityd		0	0	0	*
27	bioset			0	0	0	*
28	crypto			0	0	0	*
30	kblockd			0	0	0	*
31	ata_sff			0	0	0	*
32	khubd			0	0	0	*
33	md			0	0	0	*
34	devfreq_wq		0	0	0	*
36	kworker/0		0	0	0	*
39	khungtaskd		0	0	0	*
40	kswapd0			0	0	0	*
41	fsnotify_mark		0	0	0	*
42	ecryptfs-kthrea		0	0	0	*
54	kthrotld		0	0	0	*
55	scsi_eh_0		0	0	0	*
56	scsi_tmf_0		0	0	0	*
57	scsi_eh_1		0	0	0	*
58	scsi_tmf_1		0	0	0	*
60	ipv6_addrconf		0	0	0	*
80	deferwq			0	0	0	*
81	charger_manager		0	0	0	*
129	kpsmoused		0	0	0	*
131	scsi_eh_2		0	0	0	*
132	scsi_tmf_2		0	0	0	*
141	jbd2/sda1-8		0	0	0	*
142	ext4-rsv-conver		0	0	0	*
282	upstart-udev-br		4901	228	155	*
290	systemd-udevd		12965	493	256	*
385	dbus-daemon		10021	543	251	*
445	bluetoothd		4823	375	310	*
459	systemd-logind		10882	470	375	*
482	rsyslogd		63960	354	212	*
483	in			63960	354	212	*
484	in			63960	354	212	*
485	rs			63960	354	212	*
490	krfcommd		0	0	0	*
631	ModemManager		83610	1622	827	*
641	gmain			83610	1622	827	*
651	gdbus			83610	1622	827	*
673	NetworkManager		89454	1709	1313	*
674	NetworkManager		89454	1709	1313	*
684	gmain			89454	1709	1313	*
689	gdbus			89454	1709	1313	*
695	polkitd			74014	1499	936	*
701	upstart-file-br		3950	287	115	*
704	gdbus			74014	1499	936	*
707	gmain			74014	1499	936	*
710	upstart-socket-		3847	185	86	*
714	dhclient		2557	936	361	*
767	getty			5308	240	201	*
771	getty			5308	241	201	*
778	getty			5308	239	201	*
779	getty			5308	242	201	*
783	getty			5308	239	201	*
821	cron			5913	257	197	*
831	whoopsie		92898	1341	987	*
833	acpid			1091	176	133	*
841	dnsmasq			9110	387	325	*
874	gmain			92898	1341	987	*
875	irqbalance		4797	187	129	*
879	gdbus			92898	1341	987	*
900	kerneloops		9285	254	175	*
993	cups-browsed		18839	852	627	*
1016	sh			1110	164	138	*
1019	initctl			3895	332	220	*
1227	lightdm			91597	1148	910	*
1235	getty			5308	241	201	*
1237	gdbus			91597	1148	910	*
1245	Xorg			79862	16523	3346	*
1246	gmain			91597	1148	910	*
1248	accounts-daemon		75557	1220	979	*
1250	gmain			75557	1220	979	*
1251	gdbus			75557	1220	979	*
1260	llvmpipe-0		79862	16523	3346	*
1261	llvmpipe-1		79862	16523	3346	*
1270	kauditd			0	0	0	*
1313	kworker/u5		0	0	0	*
1315	lightdm			42625	942	744	*
1340	upowerd			59837	1131	906	*
1363	gmain			59837	1131	906	*
1365	gdbus			59837	1131	906	*
1391	rtkit-daemon		42228	328	273	*
1399	rtkit-daemon		42228	328	273	*
1400	rtkit-daemon		42228	328	273	*
1484	colord			77755	1577	1219	*
1487	gdbus			77755	1577	1219	*
1488	gmain			77755	1577	1219	*
1491	gdbus			42625	942	744	*
1501	gnome-keyring-d		80989	1236	997	*
1502	gnome-keyring-d		80989	1236	997	*
1503	init			10386	676	409	*
1580	dbus-launch		6142	151	85	*
1582	dbus-daemon		9811	299	199	*
1587	notify-osd		88081	3628	2546	*
1588	dconf			88081	3628	2546	*
1589	gdbus			88081	3628	2546	*
1591	gvfsd			49465	742	612	*
1592	gdbus			49465	742	612	*
1595	gvfsd-fuse		90106	982	798	*
1598	gvfsd-fuse		90106	982	798	*
1599	gvfsd-fuse		90106	982	798	*
1600	gdbus			90106	982	798	*
1601	gvfs-fuse-sub		90106	982	798	*
1603	gnome-screensav		104920	2782	1959	*
1604	dconf			104920	2782	1959	*
1605	gdbus			104920	2782	1959	*
1606	gmain			104920	2782	1959	*
1620	dbus-daemon		9995	502	213	*
1631	upstart-event-b		5879	303	259	*
1636	window-stack-br		19853	1148	1007	*
1640	timer			80989	1236	997	*
1645	dconf			80989	1236	997	*
1651	gdbus			80989	1236	997	*
1662	bamfdaemon		139865	3166	2057	*
1664	upstart-dbus-br		5881	160	104	*
1666	dconf			139865	3166	2057	*
1670	gdbus			139865	3166	2057	*
1672	ibus-daemon		94458	1270	903	*
1674	gvfsd			49465	789	640	*
1677	upstart-dbus-br		5881	160	103	*
1685	upstart-file-br		8000	177	101	*
1690	gdbus			94458	1270	903	*
1691	gdbus			49465	789	640	*
1698	gmain			139865	3166	2057	*
1703	gmain			94458	1270	903	*
1706	ibus-dconf		74247	1086	898	*
1707	ibus-ui-gtk3		122290	3874	2682	*
1708	unity-settings-		206003	4531	2996	*
1710	ibus-x11		99401	2558	1588	*
1714	hud-service		161937	5741	4002	*
1717	at-spi-bus-laun		91941	1122	926	*
1718	gnome-session		183424	3018	2090	*
1720	dconf			206003	4531	2996	*
1721	unity-panel-ser		163101	4503	2939	*
1722	dconf			91941	1122	926	*
1724	gdbus			91941	1122	926	*
1725	dbus-daemon		9811	487	370	*
1726	gdbus			206003	4531	2996	*
1727	gmain			91941	1122	926	*
1729	gdbus			74247	1086	898	*
1730	dconf			183424	3018	2090	*
1732	dconf			161937	5741	4002	*
1733	gdbus			183424	3018	2090	*
1734	gmain			74247	1086	898	*
1737	at-spi2-registr		31253	845	695	*
1738	dconf			74247	1086	898	*
1740	gdbus			161937	5741	4002	*
1741	dconf			163101	4503	2939	*
1742	gdbus			163101	4503	2939	*
1743	gdbus			31253	845	695	*
1744	gmain			206003	4531	2996	*
1745	dconf			122290	3874	2682	*
1747	gdbus			122290	3874	2682	*
1750	gmain			161937	5741	4002	*
1757	gmain			122290	3874	2682	*
1758	dconf			99401	2558	1588	*
1759	gdbus			99401	2558	1588	*
1763	gmain			99401	2558	1588	*
1765	indicator-keybo		151289	3992	2144	*
1766	gmain			183424	3018	2090	*
1769	indicator-messa		91599	1016	838	*
1770	indicator-bluet		73744	1025	847	*
1772	indicator-power		74248	1609	895	*
1773	indicator-datet		291492	3334	1727	*
1775	gdbus			73744	1025	847	*
1776	indicator-sound		124204	1635	1270	*
1777	gdbus			91599	1016	838	*
1778	indicator-print		132863	3137	2163	*
1779	dconf			91599	1016	838	*
1780	gmain			91599	1016	838	*
1781	gdbus			74248	1609	895	*
1782	indicator-sessi		194134	1699	920	*
1784	dconf			73744	1025	847	*
1785	dconf			74248	1609	895	*
1789	indicator-appli		71687	1254	983	*
1790	dconf			151289	3992	2144	*
1792	gdbus			151289	3992	2144	*
1793	dconf			291492	3334	1727	*
1798	dconf			194134	1699	920	*
1801	pool			291492	3334	1727	*
1802	dconf			124204	1635	1270	*
1806	gdbus			71687	1254	983	*
1807	gdbus			291492	3334	1727	*
1810	gdbus			124204	1635	1270	*
1830	evolution-sourc		123464	3314	2117	*
1831	gdbus			194134	1699	920	*
1835	dconf			132863	3137	2163	*
1837	gmain			123464	3314	2117	*
1838	gmain			291492	3334	1727	*
1839	dispatch		80989	1236	997	*
1843	gdbus			132863	3137	2163	*
1849	pulseaudio		93727	1515	991	*
1861	alsa-sink-Intel		93727	1515	991	*
1862	alsa-source-Int		93727	1515	991	*
1866	gdbus			123464	3314	2117	*
1869	ibus-engine-sim		55283	1043	866	*
1874	notify-osd		108128	4351	3032	*
1878	compiz			340010	30133	10343	*
1880	gdbus			55283	1043	866	*
1881	gmain			340010	30133	10343	*
1882	gmain			55283	1043	866	*
1886	dconf-service		44576	678	540	*
1889	gdbus			44576	678	540	*
1890	gmain			44576	678	540	*
1892	dconf			108128	4351	3032	*
1893	gdbus			108128	4351	3032	*
1894	cal-client-dbus		291492	3334	1727	*
1896	evolution-calen		241633	11711	2145	*
1897	dconf			340010	30133	10343	*
1898	gdbus			340010	30133	10343	*
1900	unity-fallback-		105050	3056	1794	*
1903	polkit-gnome-au		85641	2612	1849	*
1911	dconf			85641	2612	1849	*
1912	nm-applet		150410	5161	3265	*
1913	gdbus			85641	2612	1849	*
1914	dconf			105050	3056	1794	*
1916	nautilus		241399	7292	4691	*
1918	gdbus			105050	3056	1794	*
1924	gmain			124204	1635	1270	*
1925	gvfs-udisks2-vo		96627	1484	1069	*
1926	gdbus			241399	7292	4691	*
1928	gdbus			96627	1484	1069	*
1930	udisksd			96546	2005	1042	*
1931	dconf			241399	7292	4691	*
1932	gmain			241633	11711	2145	*
1933	dconf			150410	5161	3265	*
1934	gdbus			150410	5161	3265	*
1935	gmain			96546	2005	1042	*
1937	gdbus			96546	2005	1042	*
1938	dconf			241633	11711	2145	*
1939	evolution-calen		241633	11711	2145	*
1940	gdbus			241633	11711	2145	*
1942	probing-thread		96546	2005	1042	*
1944	llvmpipe-0		340010	30133	10343	*
1945	llvmpipe-1		340010	30133	10343	*
1955	cleanup			96546	2005	1042	*
1956	gmain			241399	7292	4691	*
1959	gmain			96627	1484	1069	*
1962	gvfs-mtp-volume		50374	703	572	*
1964	gdbus			50374	703	572	*
1966	gvfs-afc-volume		71797	848	683	*
1967	gvfs-afc-volume		71797	848	683	*
1969	gdbus			71797	848	683	*
1971	gvfs-gphoto2-vo		53415	841	664	*
1975	gdbus			53415	841	664	*
1977	gconfd-2		14810	895	530	*
1991	gvfsd-trash		93848	1117	910	*
1992	gdbus			93848	1117	910	*
1993	gmain			93848	1117	910	*
2002	gvfsd-burn		67899	776	629	*
2003	gdbus			67899	776	629	*
2060	gnome-terminal		165143	5278	3300	*
2062	dconf			165143	5278	3300	*
2063	gdbus			165143	5278	3300	*
2066	gmain			165143	5278	3300	*
2068	gnome-pty-helpe		3705	207	168	*
2069	bash			7028	973	443	*
2095	telepathy-indic		114635	3077	2253	*
2100	dconf			114635	3077	2253	*
2101	gdbus			114635	3077	2253	*
2103	mission-control		84142	2023	1631	*
2105	gdbus			84142	2023	1631	*
2107	dconf			84142	2023	1631	*
2131	cupsd			19214	912	651	*
2134	dbus			15790	560	430	*
2137	zeitgeist-datah		119751	2461	1516	*
2140	gdbus			119751	2461	1516	*
2142	zeitgeist-daemo		90915	1368	1083	*
2143	gdbus			90915	1368	1083	*
2148	zeitgeist-fts		64093	2892	1804	*
2151	gdbus			64093	2892	1804	*
2152	pool			119751	2461	1516	*
2153	pool			119751	2461	1516	*
2157	cat			3157	153	130	*
2161	gmain			119751	2461	1516	*
2194	update-notifier		127186	3981	2569	*
2197	dconf			127186	3981	2569	*
2198	gdbus			127186	3981	2569	*
2199	gmain			127186	3981	2569	*
2223	bash			7034	982	443	*
2245	deja-dup-monito		96623	1199	961	*
2248	dconf			96623	1199	961	*
2249	gdbus			96623	1199	961	*
2339	kworker/1		0	0	0	*
2426	kworker/u4		0	0	0	*
2434	kworker/0		0	0	0	*
2456	firefox			240984	54831	14514	*
2460	gmain			64093	2892	1804	*
2464	dconf			240984	54831	14514	*
2467	gdbus			240984	54831	14514	*
2468	Gecko_IOThread		240984	54831	14514	*
2469	Link			240984	54831	14514	*
2470	Closing			240984	54831	14514	*
2471	Socket			240984	54831	14514	*
2472	JS			240984	54831	14514	*
2473	JS			240984	54831	14514	*
2474	JS			240984	54831	14514	*
2475	JS			240984	54831	14514	*
2476	JS			240984	54831	14514	*
2477	JS			240984	54831	14514	*
2478	JS			240984	54831	14514	*
2479	Hang			240984	54831	14514	*
2480	gmain			240984	54831	14514	*
2484	Cache2			240984	54831	14514	*
2485	Timer			240984	54831	14514	*
2486	GMPThread		240984	54831	14514	*
2488	Compositor		240984	54831	14514	*
2489	ImageBridgeChil		240984	54831	14514	*
2490	ImgDecoder		240984	54831	14514	*
2491	ImgDecoder		240984	54831	14514	*
2492	ImageIO			240984	54831	14514	*
2493	SoftwareVsyncTh		240984	54831	14514	*
2494	firefox			240984	54831	14514	*
2495	Cert			240984	54831	14514	*
2496	HTML5			240984	54831	14514	*
2497	IPDL			240984	54831	14514	*
2499	DOM			240984	54831	14514	*
2506	mozStorage		240984	54831	14514	*
2507	Proxy			240984	54831	14514	*
2508	URL			240984	54831	14514	*
2510	Cache			240984	54831	14514	*
2511	mozStorage		240984	54831	14514	*
2512	mozStorage		240984	54831	14514	*
2513	mozStorage		240984	54831	14514	*
2518	DOM			240984	54831	14514	*
2519	mozStorage		240984	54831	14514	*
2520	localStorage		240984	54831	14514	*
2530	mozStorage		240984	54831	14514	*
2531	kworker/u5		0	0	0	*
2535	DOM			240984	54831	14514	*
2538	kworker/u4		0	0	0	*
2556	DNS			240984	54831	14514	*
2557	kworker/u4		0	0	0	*
2558	SSL			240984	54831	14514	*
2559	DNS			240984	54831	14514	*
2560	read_mem_info		1117	188	128	*

#### Time : 0.500000 seconds
#### Total number of Process : 359


PID	Name			Virtual	Physical shared	WSS
1	init			8474	797	369
2	kthreadd		0	0	0
3	ksoftirqd/0		0	0	0
5	kworker/0		0	0	0
7	rcu_sched		0	0	0
8	rcuos/0			0	0	0
9	rcuos/1			0	0	0
10	rcu_bh			0	0	0
11	rcuob/0			0	0	0
12	rcuob/1			0	0	0
13	migration/0		0	0	0
14	watchdog/0		0	0	0
15	watchdog/1		0	0	0
16	migration/1		0	0	0
17	ksoftirqd/1		0	0	0
18	kworker/1		0	0	0
19	kworker/1		0	0	0
20	khelper			0	0	0
21	kdevtmpfs		0	0	0
22	netns			0	0	0
23	writeback		0	0	0
24	ksmd			0	0	0
25	khugepaged		0	0	0
26	kintegrityd		0	0	0
27	bioset			0	0	0
28	crypto			0	0	0
30	kblockd			0	0	0
31	ata_sff			0	0	0
32	khubd			0	0	0
33	md			0	0	0
34	devfreq_wq		0	0	0
36	kworker/0		0	0	0
39	khungtaskd		0	0	0
40	kswapd0			0	0	0
41	fsnotify_mark		0	0	0
42	ecryptfs-kthrea		0	0	0
54	kthrotld		0	0	0
